Green500_Rank,Rmax,Power,How?,Mflops_Per_Watt,Total Cores,Year,Name,Manufacturer,Computer,Site,Country,Segment,Top500_Rank,Accelerator/Co-Processor Cores,Rpeak,Efficiency (%),Nmax,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
55,148778,159.53,Submission,932.6020184,7680,2013,,IBM,"iDataPlex DX360M3, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",NASA/Goddard Space Flight Center,United States,Research,247,0,159744,93.14,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband QDR,North America,Americas
56,148778,159.53,Submission,932.6020184,7680,2012,,IBM,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Centro Euro-Mediterraneo per i Cambiamenti Climatici,Italy,Research,246,0,159744,93.14,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Southern Europe,Europe
57,130180.56,139.59,Submission,932.592306,6720,2012,,IBM,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Durham University,United Kingdom,Academic,301,0,139776,93.14,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Northern Europe,Europe
58,110010,119.25,Submission,922.5157233,7520,2012,,IBM,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi",University of Miami,United States,Academic,399,2400,146931,74.87,500000,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,Intel Xeon Phi,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,North America,Americas
59,496500,540,Top500,919.4444444,29440,2011,Mole-8.5,"IPE, Nvidia, Tyan","Mole-8.5 Cluster, Xeon X5520 4C 2.27 GHz, Infiniband QDR, NVIDIA 2050","Institute of Process Engineering, Chinese Academy of Sciences",China,Academic,55,0,1012650,49.03,768000,Cluster,Xeon X5520 4C 2.267GHz,Intel Nehalem,2267,Linux,Linux,NVIDIA 2050,4,Xeon 5500-series (Nehalem-EP),Mole-8.5 Cluster,Mole-8.5 Cluster,Infiniband,Infiniband QDR,Eastern Asia,Asia
60,318443,349.6,Submission,910.8781465,16832,2013,,IBM,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",National Center for Medium Range Weather Forecast,India,Research,89,0,350106,90.96,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,South-central Asia,Asia
61,925058,1015.6,Submission,910.8487594,48896,2012,MareNostrum,IBM,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Barcelona Supercomputing Center,Spain,Academic,29,0,1017036.8,90.96,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Southern Europe,Europe
62,187373,205.72,Submission,910.8156718,9904,2012,,IBM,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Max-Planck-Gesellschaft MPI/IPP,Germany,Research,175,0,206003,90.96,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Western Europe,Europe
63,719220,789.66,Submission,910.7970519,38016,2013,,IBM,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Indian Institute of Tropical Meteorology,India,Research,36,0,790733,90.96,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,South-central Asia,Asia
64,130162,142.91,Submission,910.7970051,6880,2012,Midway,IBM,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",University of Chicago,United States,Academic,302,0,143104,90.96,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,North America,Americas
65,126227,138.59,Submission,910.7944296,6672,2013,,IBM,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband",Electronics,United States,Industry,321,0,138778,90.96,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
66,126227,138.59,Submission,910.7944296,6672,2013,,IBM,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband",Electronics,United States,Industry,322,0,138778,90.96,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
67,126227,138.59,Submission,910.7944296,6672,2013,,IBM,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband",Electronics,United States,Industry,323,0,138778,90.96,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
68,126227,138.59,Submission,910.7944296,6672,2013,,IBM,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband",Electronics,United States,Industry,324,0,138778,90.96,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
69,126227,138.59,Submission,910.7944296,6672,2013,,IBM,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband",Electronics,United States,Industry,325,0,138778,90.96,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
70,126227,138.59,Submission,910.7944296,6672,2013,,IBM,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband",Electronics,United States,Industry,326,0,138778,90.96,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
71,126227,138.59,Submission,910.7944296,6672,2013,,IBM,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband",Electronics,United States,Industry,327,0,138778,90.96,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
72,126227,138.59,Submission,910.7944296,6672,2013,,IBM,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband",Electronics,United States,Industry,328,0,138778,90.96,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
73,141059,154.88,Submission,910.7631715,7456,2013,,IBM,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",CLUMEQ - McGill University,Canada,Academic,269,0,155085,90.96,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,North America,Americas
74,196234,217.2,Top500,903.4714549,8412,2013,,Inspur,"Inspur TS10000, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, K20M/Xeon Phi 5110P",Shanghai Jiaotong University,China,Academic,158,1900,262559.6,74.74,1671936,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Redhat Linux,Linux,K20M/Xeon Phi 5110P,8,Intel Xeon E5 (SandyBridge),Inspur TS10000,Inspur Cluster,Infiniband,Infiniband FDR,Eastern Asia,Asia
75,114828.91,128.75,Submission,891.8750291,8240,2011,,IBM,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband QDR, NVIDIA 2070",Forschungszentrum Juelich (FZJ),Germany,Research,377,5768,238482.08,48.15,0,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2070,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband QDR,Western Europe,Europe
76,142700,160,Submission,891.875,10240,2011,,IBM,"iDataPlex DX360M3, Xeon E5645 6C 2.40 GHz, Infiniband QDR, NVIDIA 2070",CINECA / SCS - SuperComputing Solution,Italy,Research,266,7168,293171,48.67,0,Cluster,Xeon E5645 6C 2.400GHz,Intel Nehalem,2400,Linux,Linux,NVIDIA 2070,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband QDR,Southern Europe,Europe
77,1043000,1176.8,Top500,886.3018355,76800,2012,Oakleaf-FX,Fujitsu,"PRIMEHPC FX10, SPARC64 IXfx 16C 1.848GHz, Tofu interconnect","Information Technology Center, The University of Tokyo",Japan,Academic,26,0,1135411,91.86,4058880,Cluster,SPARC64 IXfx 16C 1.848GHz,Sparc,1848,Linux,Linux,None,16,SPARC64 IXfx,PRIMEHPC FX10,Fujitsu Cluster,Custom Interconnect,Tofu interconnect,Eastern Asia,Asia
78,1415470,1606,Top500,881.3636364,73584,2012,Spirit,SGI,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Air Force Research Laboratory,United States,Government,14,0,1530547.2,92.48,3128832,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,SUSE Linux Enterprise Server 11,Linux,None,8,Intel Xeon E5 (SandyBridge),SGI ICE X,SGI ICE X,Infiniband,Infiniband FDR,North America,Americas
79,1257615,1436.72,Submission,875.3375745,72288,2012,Yellowstone,IBM,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",NCAR (National Center for Atmospheric Research),United States,Research,17,0,1503590,83.64,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,North America,Americas
80,350729,400.68,Submission,875.3344315,20160,2012,Pershing,IBM,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Army Research Laboratory DoD Supercomputing Resource Center (ARL DSRC),United States,Government,78,0,419328,83.64,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,North America,Americas
81,178148,203.52,Submission,875.3341195,10240,2012,Gyre,IBM,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",National Centers for Environment Prediction,United States,Research,190,0,212992,83.64,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,North America,Americas
82,178148,203.52,Submission,875.3341195,10240,2012,Tide,IBM,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",National Centers for Environment Prediction,United States,Research,191,0,212992,83.64,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,North America,Americas
83,327347,373.97,Submission,875.3295719,18816,2012,Kilrain,IBM,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Navy DSRC,United States,Government,84,0,391373,83.64,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,North America,Americas
84,327347,373.97,Submission,875.3295719,18816,2012,Haise,IBM,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Navy DSRC,United States,Government,85,0,391373,83.64,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,North America,Americas
85,303965,347.26,Submission,875.3239648,17472,2012,Hercules,IBM,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Army Research Laboratory DoD Supercomputing Resource Center (ARL DSRC),United States,Government,94,0,363418,83.64,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,North America,Americas
86,129714,148.19,Submission,875.3222215,7456,2012,,IBM,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Electronics,United States,Industry,308,0,155085,83.64,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,North America,Americas
87,441815,505.5,Submission,874.0158259,24336,2013,Makman,IBM,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",Saudi Aramco,Saudi Arabia,Industry,60,0,506189,87.28,3232768,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband QDR,Western Asia,Asia
88,157708,181.31,Submission,869.8251613,8336,2013,,IBM,"IBM Flex System x240, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Automotive,United States,Industry,224,0,173389,90.96,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),IBM Flex System x240,IBM Flex System,Infiniband,Infiniband FDR,North America,Americas
89,157708,181.31,Submission,869.8251613,8336,2013,,IBM,"IBM Flex System x240, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Automotive,United States,Industry,225,0,173389,90.96,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),IBM Flex System x240,IBM Flex System,Infiniband,Infiniband FDR,North America,Americas
90,157708,181.31,Submission,869.8251613,8336,2013,,IBM,"IBM Flex System x240, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Automotive,United States,Industry,226,0,173389,90.96,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),IBM Flex System x240,IBM Flex System,Infiniband,Infiniband FDR,North America,Americas
91,1192000,1398.61,Submission,852.2747585,73278,2010,TSUBAME 2.0,NEC/HP,"HP ProLiant SL390s G7 Xeon 6C X5670, Nvidia GPU, Linux/Windows","GSIC Center, Tokyo Institute of Technology",Japan,Academic,21,56994,2287630,52.11,2490368,Cluster,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,NVIDIA 2050,6,Xeon 5600-series (Westmere-EP),Cluster Platform SL390s G7,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,Eastern Asia,Asia
92,271754,319,Top500,851.8934169,13824,2013,Laure,SGI,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",TOTAL,United States,Industry,109,0,287539,94.51,2359296,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,SUSE Linux Enterprise Server 11,Linux,None,8,Intel Xeon E5 (SandyBridge),SGI ICE X,SGI ICE X,Infiniband,Infiniband FDR,North America,Americas
93,268100,315.9,Top500,848.6862931,14720,2012,Dark Bridge,Cray Inc.,"Appro Xtreme-X Supercomputer, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",Sandia National Laboratories,United States,Research,110,0,306176,87.56,2577260,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Appro Xtreme-X Supercomputer,Appro Xtreme-X,Infiniband,Infiniband QDR,North America,Americas
94,2897000,3422.67,Submission,846.4152255,147456,2012,SuperMUC,IBM,"iDataPlex DX360M4, Xeon E5-2680 8C 2.70GHz, Infiniband FDR",Leibniz Rechenzentrum,Germany,Academic,9,0,3185050,90.96,5201920,Cluster,Xeon E5-2680 8C 2.700GHz,Intel SandyBridge,2700,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Western Europe,Europe
95,213778,255.2,Submission,837.6880878,12288,2013,,IBM,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Technische Universitaet Darmstadt,Germany,Academic,147,0,255590,83.64,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Western Europe,Europe
96,773700,924.16,Top500,837.1926939,46208,2011,Zin,Cray Inc.,"Xtreme-X GreenBlade GB512X, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, Infiniband QDR",Lawrence Livermore National Laboratory,United States,Research,34,0,961126.4,80.5,3260400,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,RHEL 6.2,Linux,None,8,Intel Xeon E5 (SandyBridge),Xtreme-X GreenBlade GB512X,Appro Xtreme-X,Infiniband,Infiniband QDR,North America,Americas
97,10510000,12659.89,Top500,830.1809889,705024,2011,,Fujitsu,"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect",RIKEN Advanced Institute for Computational Science (AICS),Japan,Research,4,0,11280384,93.17,11870208,Cluster,SPARC64 VIIIfx 8C 2.000GHz,Sparc,2000,Linux,Linux,None,8,SPARC64 VIIIfx,K computer,Fujitsu Cluster,Custom Interconnect,Custom Interconnect,Eastern Asia,Asia
98,347400,421.2,Top500,824.7863248,20480,2012,Cab,Cray Inc.,"Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband QDR",Lawrence Livermore National Laboratory,United States,Research,79,0,425984,81.55,2168320,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Appro Xtreme-X Supercomputer,Appro Xtreme-X,Infiniband,Infiniband QDR,North America,Americas
99,97447,118.29,Submission,823.797447,4960,2013,,IBM,"iDataPlex DX360M4, Xeon E5-2680 8C 2.700GHz, Infiniband",Aerospace Company,United States,Industry,488,0,107136,90.96,0,Cluster,Xeon E5-2680 8C 2.700GHz,Intel SandyBridge,2700,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
100,106998,132.2,Derived,809.3645991,5760,2011,Bull Benchmarks SuperComputer I,Bull SA,"Bullx B510, Xeon E5 (Sandy Bridge - EP) 8C 2.70GHz, Infiniband QDR",Bull,France,Vendor,422,0,124416,86,0,Cluster,Xeon E5-2680 8C 2.700GHz,Intel SandyBridge,2700,bullx SUperCOmputer Suite A.E.2.1,Linux,None,8,Intel Xeon E5 (SandyBridge),Bullx B510,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
101,582100,720,Top500,808.4722222,32256,2012,,SGI,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Central Research Institute of Electric Power Industry/CRIEPI,Japan,Research,47,0,670925,86.76,2648520,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,SUSE Linux Enterprise Server 11,Linux,None,8,Intel Xeon E5 (SandyBridge),SGI ICE X,SGI ICE X,Infiniband,Infiniband FDR,Eastern Asia,Asia
102,139255,172.77,Submission,806.0137755,7088,2013,,IBM,"iDataPlex DX360M4, Xeon E5-2690 8C 2.900GHz, Infiniband FDR",Electronics Company,Japan,Industry,274,0,164441.6,84.68,0,Cluster,Xeon E5-2690 8C 2.900GHz,Intel SandyBridge,2900,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Eastern Asia,Asia
103,336800,421.2,Top500,799.620133,19712,2012,Pecos,Cray Inc.,"Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband QDR",Sandia National Laboratories,United States,Research,82,0,410010,82.14,2108876,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Appro Xtreme-X Supercomputer,Appro Xtreme-X,Infiniband,Infiniband QDR,North America,Americas
104,303736,380,Top500,799.3052632,19136,2012,Triolith,Hewlett-Packard,"Cluster Platform SL230s Gen8, Xeon E5-2660 8C 2.200GHz, Infiniband FDR",National Supercomputer Centre (NSC),Sweden,Academic,96,0,336794,90.18,2075136,Cluster,Xeon E5-2660 8C 2.200GHz,Intel SandyBridge,2200,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,Northern Europe,Europe
105,285800,358.4,Top500,797.4330357,16160,2011,Gordon,Cray Inc.,"Xtreme-X GreenBlade GB512X, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",UCSD/San Diego Supercomputer Center,United States,Academic,102,0,336128,85.03,2558976,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,RHEL 6.2,Linux,None,8,Intel Xeon E5 (SandyBridge),Xtreme-X GreenBlade GB512X,Appro Xtreme-X,Infiniband,Infiniband QDR,North America,Americas
106,154000,194.5125,Derived,791.722897,7020,2011,Tera-100 Hybrid,Bull SA,"Bullx B505, Xeon E56xx (Westmere-EP) 2.40 GHz, Infiniband QDR",Commissariat a l'Energie Atomique (CEA),France,Research,235,5460,274560,56.09,536576,Cluster,Xeon E5620 4C 2.400GHz,Intel Nehalem,2400,Linux,Linux,NVIDIA 2090,4,Xeon 5600-series (Westmere-EP),Bullx B505,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
107,191938,243.69,Submission,787.6318273,10624,2012,Ada,IBM,"xSeries x3750 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband FDR",CNRS/IDRIS-GENCI,France,Academic,161,0,229478,83.64,0,Cluster,Xeon E5-2680 8C 2.700GHz,Intel SandyBridge,2700,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3750 Cluster,IBM xSeries,Infiniband,Infiniband FDR,Western Europe,Europe
108,178600,227,Top500,786.784141,10080,2012,Abel,Megware,"MEGWARE MiriQuid, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",University of Oslo,Norway,Academic,189,0,209664,85.18,2128896,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),MEGWARE MiriQuid,Megware Cluster,Infiniband,Infiniband FDR,Northern Europe,Europe
109,303900,386.56,Top500,786.165149,17344,2012,,Hewlett-Packard,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.60GHz, Infiniband FDR",CSIR Centre for Mathematical Modelling and Computer Simulation,India,Research,95,0,360755,84.24,2114448,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,Infiniband,Infiniband FDR,South-central Asia,Asia
110,347400,448,Top500,775.4464286,20480,2011,Luna,Cray Inc.,"Xtreme-X GreenBlade GB512X, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",Los Alamos National Laboratory,United States,Research,80,0,425984,81.55,2168320,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,RHEL 6.2,Linux,None,8,Intel Xeon E5 (SandyBridge),Xtreme-X GreenBlade GB512X,Appro Xtreme-X,Infiniband,Infiniband QDR,North America,Americas
111,136700,182,Top500,751.0989011,7488,2010,WillowA,Bull SA,"Bullx B510, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",Atomic Weapons Establishment,United Kingdom,Classified,280,0,161740,84.52,1786550,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Bullx B510,Bull Bullx,Infiniband,Infiniband QDR,Northern Europe,Europe
112,136400,182,Top500,749.4505495,7488,2010,WillowB,Bull SA,"Bullx B510, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",Atomic Weapons Establishment,United Kingdom,Classified,281,0,161740,84.33,1786550,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Bullx B510,Bull Bullx,Infiniband,Infiniband QDR,Northern Europe,Europe
113,186900,252,Top500,741.6666667,10368,2011,Carter,Hewlett-Packard,"Cluster Platform 3000 SL6500, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, FDR Infiniband",Purdue University,United States,Academic,176,0,215654.4,86.67,1471712,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform 3000 SL6500,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,North America,Americas
114,795900,1074,Top500,741.0614525,137200,2011,Sunway Blue Light,National Research Center of Parallel Computer Engineering & Technology,"Sunway BlueLight MPP, ShenWei processor SW1600 975.00 MHz, Infiniband QDR",National Supercomputing Center in Jinan,China,Research,33,0,1070160,74.37,3375120,Cluster,ShenWei processor SW1600 16C 975MHz,Others,975,Linux,Linux,None,16,ShenWei,Sunway BlueLight MPP,Sunway BlueLight MPP,Infiniband,Infiniband QDR,Eastern Asia,Asia
