"","date","ExaRank","exascalar","top500rank","green500rank.g","rmax.g","power.g","mflopswatt.g","how.g","year.g","name.g","totalcores.g","computer.g","site.g","manufacturer.g","country.g","segment.g","acceleratorcoprocessorcores.g","rpeak.g","nmax.g","nhalf.g","architecture.g","processor.g","processorfamily.g","procfrequency.g","oatingsystem.g","osfamily.g","acceleratorcoprocessor.g","coressocket.g","processorgeneration.g","systemmodel.g","systemfamily.g","interconnectfamily.g","interconnect.g","region.g","continent.g","previoustop500rank","firstappearance.t","firsttop500rank","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcoprocessorcores.t","rmax.t","rpeak.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","acceleratorcoprocessor.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t","rmax","mflopswatt"
"261",2015-06-01,222,-3.772,261,190,271754,319,851.8934169,"Top500",2013,"Laure",13824,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","TOTAL","SGI","United States","Industry",0,287539,2359296,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"SUSE Linux Enterprise Server 11","Linux","None",8,"Intel Xeon E5 (SandyBridge)","SGI ICE X","SGI ICE","Infiniband","Infiniband FDR","North America","Americas",204,41,109,"Laure","SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","TOTAL","SGI","United States",2013,"Industry",13824,0,271754,287539,2359296,0,319,852,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"SUSE Linux Enterprise Server 11","Linux","None",8,"Intel Xeon E5 (SandyBridge)","SGI ICE X","SGI ICE","Infiniband","Infiniband FDR","North America","Americas",271754,851.8934169
"388",2015-06-01,223,-3.772,388,132,194758,163.8,1188.998779,"Derived",2015,"NEMO",6048,"Lenovo NeXtScale nx360M5, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR","CERFACS","Lenovo","France","Research",0,241920,1103459,0,"Cluster","Xeon E5-2680v3 12C 2.5GHz","Intel Haswell",2500,"Linux","Linux","None",12,"Intel Xeon E5 (Haswell)","Lenovo NeXtScale nx360M5","Lenovo NeXtScale","Infiniband","Infiniband FDR","Western Europe","Europe",NA,45,388,"NEMO","Lenovo NeXtScale nx360M5, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR","CERFACS","Lenovo","France",2015,"Research",6048,0,194758,241920,1103459,0,NA,NA,"Cluster","Xeon E5-2680v3 12C 2.5GHz","Intel Haswell",2500,"Linux","Linux","None",12,"Intel Xeon E5 (Haswell)","Lenovo NeXtScale nx360M5","Lenovo NeXtScale","Infiniband","Infiniband FDR","Western Europe","Europe",194758,1188.998779
"164",2015-06-01,224,-3.776,164,263,407138,726,560.7961433,"Derived",2015,"Rice",13200,"Cluster Platform DL60, Xeon E5-2660v3 10C 2.6GHz, Infiniband FDR","Purdue University","Hewlett-Packard","United States","Academic",0,549120,1822464,0,"Cluster","Xeon E5-2660v3 10C 2.6GHz","Intel Haswell",2600,"Linux","Linux","None",10,"Intel Xeon E5 (Haswell)","Cluster Platform DL60","HP Cluster Platform 3000","Infiniband","Infiniband FDR","North America","Americas",NA,45,164,"Rice","Cluster Platform DL60, Xeon E5-2660v3 10C 2.6GHz, Infiniband FDR","Purdue University","Hewlett-Packard","United States",2015,"Academic",13200,0,407138,549120,1822464,0,NA,NA,"Cluster","Xeon E5-2660v3 10C 2.6GHz","Intel Haswell",2600,"Linux","Linux","None",10,"Intel Xeon E5 (Haswell)","Cluster Platform DL60","HP Cluster Platform 3000","Infiniband","Infiniband FDR","North America","Americas",407138,560.7961433
"246",2015-06-01,225,-3.777,246,207,285800,358.4,797.4330357,"Top500",2011,"Gordon",16160,"Xtreme-X GreenBlade GB512X, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","UCSD/San Diego Supercomputer Center","Cray Inc.","United States","Academic",0,336128,2558976,1279488,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"RHEL 6.2","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Xtreme-X GreenBlade GB512X","Appro Xtreme-X","Infiniband","Infiniband QDR","North America","Americas",192,38,48,"Gordon","Xtreme-X GreenBlade GB512X, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","UCSD/San Diego Supercomputer Center","Cray Inc.","United States",2011,"Academic",16160,0,285800,336128,2558976,1279488,358,797,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"RHEL 6.2","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Xtreme-X GreenBlade GB512X","Appro Xtreme-X","Infiniband","Infiniband QDR","North America","Americas",285800,797.4330357
"267",2015-06-01,226,-3.777,267,191,268100,315.9,848.6862931,"Top500",2012,"Dark Bridge",14720,"Appro Xtreme-X Supercomputer, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","Sandia National Laboratories","Cray Inc.","United States","Research",0,306176,2577260,1288630,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Appro Xtreme-X Supercomputer","Appro Xtreme-X","Infiniband","Infiniband QDR","North America","Americas",209,40,93,"Dark Bridge","Appro Xtreme-X Supercomputer, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","Sandia National Laboratories","Cray Inc.","United States",2012,"Research",14720,0,268100,306176,2577260,1288630,316,849,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Appro Xtreme-X Supercomputer","Appro Xtreme-X","Infiniband","Infiniband QDR","North America","Americas",268100,848.6862931
"211",2015-06-01,227,-3.779,211,226,318000,446.4,712.3655914,"Top500",2010,"Blackthorn",17856,"Bullx B510, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","AWE","Bull, Atos Group","United Kingdom","Research",0,371404.8,2668480,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Bullx B510","Bull Bullx","Infiniband","Infiniband QDR","Northern Europe","Europe",164,36,53,"Blackthorn","Bullx B510, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","AWE","Bull, Atos Group","United Kingdom",2010,"Research",17856,0,318000,371405,2668480,0,446,712,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Bullx B510","Bull Bullx","Infiniband","Infiniband QDR","Northern Europe","Europe",318000,712.3655914
"264",2015-06-01,228,-3.781,264,199,271015,326.8705882,829.1201772,"Derived",2014,"",14720,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2673v2 8C 3.3GHz, 10G Ethernet","Network Company","Hewlett-Packard","India","Industry",0,388608,0,0,"Cluster","Xeon E5-2673v2 8C 3.3GHz","Intel IvyBridge",3300,"Linux","Linux","None",8,"Intel Xeon E5 (IvyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","South-central Asia","Asia",206,44,206,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2673v2 8C 3.3GHz, 10G Ethernet","Network Company","Hewlett-Packard","India",2014,"Industry",14720,0,271015,388608,0,0,NA,NA,"Cluster","Xeon E5-2673v2 8C 3.3GHz","Intel IvyBridge",3300,"Linux","Linux","None",8,"Intel Xeon E5 (IvyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","South-central Asia","Asia",271015,829.1201772
"179",2015-06-01,229,-3.783,179,248,359835.8,579.48,620.9632774,"Derived",2014,"",26096,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.6GHz, 10G Ethernet","IT Service Provider","Hewlett-Packard","United States","Industry",0,542796.8,0,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",137,43,106,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.6GHz, 10G Ethernet","IT Service Provider","Hewlett-Packard","United States",2014,"Industry",26096,0,359836,542797,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",359836,620.9632774
"375",2015-06-01,230,-3.787,375,140,201165,183.73,1094.894682,"Top500",2014,"Supercomputer System for Statistical Science ""I""",9600,"SGI ICE X, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR","The Institute of Statistical Mathematics","SGI","Japan","Research",0,207360,1605120,0,"Cluster","Intel Xeon E5-2697v2 12C 2.7GHz","Intel IvyBridge",2700,"SUSE Linux Enterprise Server 11","Linux","None",12,"Intel Xeon E5 (IvyBridge)","SGI ICE X","SGI ICE","Infiniband","Infiniband FDR","Eastern Asia","Asia",301,44,301,"Supercomputer System for Statistical Science ""I""","SGI ICE X, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR","The Institute of Statistical Mathematics","SGI","Japan",2014,"Research",9600,0,201165,207360,1605120,0,184,1095,"Cluster","Intel Xeon E5-2697v2 12C 2.7GHz","Intel IvyBridge",2700,"SUSE Linux Enterprise Server 11","Linux","None",12,"Intel Xeon E5 (IvyBridge)","SGI ICE X","SGI ICE","Infiniband","Infiniband FDR","Eastern Asia","Asia",201165,1094.894682
"138",2015-06-01,231,-3.79,138,281,476333,1040.18,457.9332423,"Submission",2011,"",18432,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect","United Kingdom Meteorological Office","IBM","United Kingdom","Research",0,565641.22,0,0,"MPP","POWER7 8C 3.84GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom Interconnect","Northern Europe","Europe",104,38,62,"","Power 775, POWER7 8C 3.836GHz, Custom Interconnect","United Kingdom Meteorological Office","IBM","United Kingdom",2011,"Research",18432,0,476333,565641,0,0,1040,458,"MPP","POWER7 8C 3.84GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom Interconnect","Northern Europe","Europe",476333,457.9332423
"84",2015-06-01,232,-3.792,84,325,816578.6,3072,265.8133464,"Derived",2014,"Faris",40960,"Cluster Platform SL230s Gen8, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband QDR","Saudi Aramco","Hewlett-Packard","Saudi Arabia","Industry",0,917504,0,0,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","Infiniband","Infiniband QDR","Western Asia","Asia",62,43,45,"Faris","Cluster Platform SL230s Gen8, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband QDR","Saudi Aramco","Hewlett-Packard","Saudi Arabia",2014,"Industry",40960,0,816579,917504,0,0,NA,NA,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","Infiniband","Infiniband QDR","Western Asia","Asia",816579,265.8133464
"407",2015-06-01,233,-3.792,407,135,191500,169,1133.136095,"Top500",2013,"Emmy",11200,"NEC LX-2400, Intel Xeon E5-2660v2 10C 2.200GHz, Infiniband QDR","Universitaet Erlangen - Regionales Rechenzentrum Erlangen","NEC","Germany","Academic",0,197120,1951840,0,"Cluster","Intel Xeon E5-2660v2 10C 2.2GHz","Intel IvyBridge",2200,"CentOS","Linux","None",10,"Intel Xeon E5 (IvyBridge)","NEC LX-2400","NEC Cluster","Infiniband","Infiniband QDR","Western Europe","Europe",331,42,210,"Emmy","NEC LX-2400, Intel Xeon E5-2660v2 10C 2.200GHz, Infiniband QDR","Universitaet Erlangen - Regionales Rechenzentrum Erlangen","NEC","Germany",2013,"Academic",11200,0,191500,197120,1951840,0,169,1133,"Cluster","Intel Xeon E5-2660v2 10C 2.2GHz","Intel IvyBridge",2200,"CentOS","Linux","None",10,"Intel Xeon E5 (IvyBridge)","NEC LX-2400","NEC Cluster","Infiniband","Infiniband QDR","Western Europe","Europe",191500,1133.136095
"226",2015-06-01,234,-3.795,226,225,299300,416.78,718.1246701,"Top500",2011,"LOEWE-CSC",44928,"SuperServer 2022TG-GIBQRF, Opteron 6172 12C 2.1GHz, Infiniband QDR, ATI HD 5870","Universitaet Frankfurt","Clustervision/Supermicro","Germany","Academic",24576,588748.8,2095104,0,"Cluster","Opteron 6172 12C 2.1GHz","AMD x86_64",2100,"Linux","Linux","ATI HD 5870",12,"Opteron 6100-series ""Magny-Cours"" ","SuperServer 2022TG-GIBQRF","Supermicro SuperServer","Infiniband","Infiniband QDR","Western Europe","Europe",179,37,22,"LOEWE-CSC","SuperServer 2022TG-GIBQRF, Opteron 6172 12C 2.1GHz, Infiniband QDR, ATI HD 5870","Universitaet Frankfurt","Clustervision/Supermicro","Germany",2011,"Academic",44928,24576,299300,588749,2095104,0,417,718,"Cluster","Opteron 6172 12C 2.1GHz","AMD x86_64",2100,"Linux","Linux","ATI HD 5870",12,"Opteron 6100-series ""Magny-Cours"" ","SuperServer 2022TG-GIBQRF","Supermicro SuperServer","Infiniband","Infiniband QDR","Western Europe","Europe",299300,718.1246701
"259",2015-06-01,235,-3.803,259,216,273973,358.5,764.2203626,"Submission",2013,"TEIDE-HPC",16384,"Fujitsu PRIMERGY CX250 S1, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","Instituto Tecnol","Fujitsu","Spain","Research",0,340787.2,1887312,1334592,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"CentOS","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Fujitsu PRIMERGY CX250 S1","Fujitsu Cluster","Infiniband","Infiniband QDR","Southern Europe","Europe",202,42,138,"TEIDE-HPC","Fujitsu PRIMERGY CX250 S1, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","Instituto Tecnológico y de Energías Renovables S.A.","Fujitsu","Spain",2013,"Research",16384,0,273973,340787,1887312,1334592,312,878,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"CentOS","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Fujitsu PRIMERGY CX250 S1","Fujitsu Cluster","Infiniband","Infiniband QDR","Southern Europe","Europe",273973,764.2203626
"319",2015-06-01,236,-3.804,319,173,228842.88,251.26,910.7811828,"Submission",2013,"",12096,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Geoscience","IBM/Lenovo","United States","Industry",0,251596.8,0,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","North America","Americas",258,41,230,"","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Geoscience","IBM/Lenovo","United States",2013,"Industry",12096,0,228843,251597,0,0,251,911,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","North America","Americas",228843,910.7811828
"368",2015-06-01,237,-3.805,368,147,206304,205,1006.360976,"Top500",2014,"ForHLR1",10800,"MEGWARE MiriQuid, Intel Xeon E5-2670v2  10C 2.5GHz, Infiniband FDR","Karlsruher Institut f","MEGWARE","Germany","Academic",0,216000,1898400,336000,"Cluster","Intel Xeon E5-2670v2  10C 2.5GHz","Intel IvyBridge",2500,"Redhat Enterprise Linux 6.5","Linux","None",10,"Intel Xeon E5 (IvyBridge)","MEGWARE MiriQuid","MEGWARE Cluster","Infiniband","Infiniband FDR","Western Europe","Europe",296,43,242,"ForHLR1","MEGWARE MiriQuid, Intel Xeon E5-2670v2  10C 2.5GHz, Infiniband FDR","Karlsruher Institut für Technologie (KIT) ","MEGWARE","Germany",2014,"Academic",10800,0,206304,216000,1898400,336000,205,1006,"Cluster","Intel Xeon E5-2670v2  10C 2.5GHz","Intel IvyBridge",2500,"Redhat Enterprise Linux 6.5","Linux","None",10,"Intel Xeon E5 (IvyBridge)","MEGWARE MiriQuid","MEGWARE Cluster","Infiniband","Infiniband FDR","Western Europe","Europe",206304,1006.360976
"330",2015-06-01,238,-3.806,330,161,222739.58,239.6,929.6309683,"Submission",2014,"Blue Wonder",11520,"IBM NeXtScale nx360M4, Intel Xeon E5-2697v2 12C 2.700GHz, Infiniband FDR","Science and Technology Facilities Council - Daresbury Laboratory","IBM","United Kingdom","Research",0,248832,0,0,"Cluster","Intel Xeon E5-2697v2 12C 2.7GHz","Intel IvyBridge",2700,"Linux","Linux","None",12,"Intel Xeon E5 (IvyBridge)","IBM NeXtScale nx360M4","IBM NeXtScale","Infiniband","Infiniband FDR","Northern Europe","Europe",269,43,223,"Blue Wonder","IBM NeXtScale nx360M4, Intel Xeon E5-2697v2 12C 2.700GHz, Infiniband FDR","Science and Technology Facilities Council - Daresbury Laboratory","IBM","United Kingdom",2014,"Research",11520,0,222740,248832,0,0,240,930,"Cluster","Intel Xeon E5-2697v2 12C 2.7GHz","Intel IvyBridge",2700,"Linux","Linux","None",12,"Intel Xeon E5 (IvyBridge)","IBM NeXtScale nx360M4","IBM NeXtScale","Infiniband","Infiniband FDR","Northern Europe","Europe",222740,929.6309683
"291",2015-06-01,239,-3.807,291,198,249216,300.5788235,829.1202856,"Derived",2014,"",13536,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2673v2 8C 3.3GHz, 10G Ethernet","Network Company","Hewlett-Packard","United States","Industry",0,357350.4,0,0,"Cluster","Xeon E5-2673v2 8C 3.3GHz","Intel IvyBridge",3300,"Linux","Linux","None",8,"Intel Xeon E5 (IvyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",233,44,233,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2673v2 8C 3.3GHz, 10G Ethernet","Network Company","Hewlett-Packard","United States",2014,"Industry",13536,0,249216,357350,0,0,NA,NA,"Cluster","Xeon E5-2673v2 8C 3.3GHz","Intel IvyBridge",3300,"Linux","Linux","None",8,"Intel Xeon E5 (IvyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",249216,829.1202856
"322",2015-06-01,240,-3.807,322,168,227026.67,249.26,910.8026559,"Submission",2013,"IRIDIS 4",12000,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","University of Southampton","IBM","United Kingdom","Academic",0,249600,0,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","Northern Europe","Europe",261,42,179,"IRIDIS 4","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","University of Southampton","IBM","United Kingdom",2013,"Academic",12000,0,227027,249600,0,0,249,911,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","Northern Europe","Europe",227027,910.8026559
"161",2015-06-01,241,-3.814,161,276,410780,834.75,492.099431,"Derived",2014,"Computerome",15120,"Apollo 6000 XL230a, Xeon E5-2683v3 14C 2GHz, Infiniband FDR","Center for Biological Sequence Analysis - DTU","Hewlett-Packard","Denmark","Research",0,483840,0,0,"Cluster","Xeon E5-2683v3 14C 2GHz","Intel Haswell",2000,"Linux","Linux","None",14,"Intel Xeon E5 (Haswell)","Apollo 6000 XL230a","HP Apollo","Infiniband","Infiniband FDR","Northern Europe","Europe",121,44,121,"Computerome","Apollo 6000 XL230a, Xeon E5-2683v3 14C 2GHz, Infiniband FDR","Center for Biological Sequence Analysis - DTU","Hewlett-Packard","Denmark",2014,"Research",15120,0,410780,483840,0,0,NA,NA,"Cluster","Xeon E5-2683v3 14C 2GHz","Intel Haswell",2000,"Linux","Linux","None",14,"Intel Xeon E5 (Haswell)","Apollo 6000 XL230a","HP Apollo","Infiniband","Infiniband FDR","Northern Europe","Europe",410780,492.099431
"137",2015-06-01,242,-3.821,137,296,477000,1153.488,413.5283592,"Derived",2014,"Armstrong",41196,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect , Xeon Phi 5120D/Nvidia K40","Navy DSRC","Cray Inc.","United States","Government",10444,820803.2,1707720,0,"MPP","Intel Xeon E5-2697v2 12C 2.7GHz","Intel IvyBridge",2700,"Cray Linux Environment ","Linux","Xeon Phi 5120D/Nvidia K40",12,"Intel Xeon E5 (IvyBridge)","Cray XC30","Cray XC","Custom Interconnect","Aries interconnect ","North America","Americas",103,44,103,"Armstrong","Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect , Xeon Phi 5120D/Nvidia K40","Navy DSRC","Cray Inc.","United States",2014,"Government",41196,10444,477000,820803,1707720,0,NA,NA,"MPP","Intel Xeon E5-2697v2 12C 2.7GHz","Intel IvyBridge",2700,"Cray Linux Environment ","Linux","Xeon Phi 5120D/Nvidia K40",12,"Intel Xeon E5 (IvyBridge)","Cray XC30","Cray XC","Custom Interconnect","Aries interconnect ","North America","Americas",477000,413.5283592
"127",2015-06-01,243,-3.823,127,300,516897,1363.2,379.1791373,"Derived",2014,"HPC4",34560,"HP POD - Cluster Platform BL460c, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR","Airbus","Hewlett-Packard","France","Industry",0,746496,0,0,"Cluster","Intel Xeon E5-2697v2 12C 2.7GHz","Intel IvyBridge",2700,"Linux","Linux","None",12,"Intel Xeon E5 (IvyBridge)","HP POD - Cluster Platform BL460c","HP Pod","Infiniband","Infiniband FDR","Western Europe","Europe",95,43,72,"HPC4","HP POD - Cluster Platform BL460c, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR","Airbus","Hewlett-Packard","France",2014,"Industry",34560,0,516897,746496,0,0,NA,NA,"Cluster","Intel Xeon E5-2697v2 12C 2.7GHz","Intel IvyBridge",2700,"Linux","Linux","None",12,"Intel Xeon E5 (IvyBridge)","HP POD - Cluster Platform BL460c","HP Pod","Infiniband","Infiniband FDR","Western Europe","Europe",516897,379.1791373
"265",2015-06-01,244,-3.832,265,232,269267,381.19,706.3852672,"Submission",2014,"",13696,"xSeries x3650M4 Cluster, Xeon E5-2680 8C 2.7GHz, Infiniband FDR","Electronics","IBM/Lenovo","United States","Industry",0,295833.6,0,0,"Cluster","Xeon E5-2680 8C 2.7GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Infiniband","Infiniband FDR","North America","Americas",207,43,296,"","xSeries x3650M4 Cluster, Xeon E5-2680 8C 2.7GHz, Infiniband FDR","Electronics","IBM/Lenovo","United States",2014,"Industry",13696,0,269267,295834,0,0,381,706,"Cluster","Xeon E5-2680 8C 2.7GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Infiniband","Infiniband FDR","North America","Americas",269267,706.3852672
"218",2015-06-01,245,-3.836,218,253,314396.7,526.025,597.6839504,"Derived",2014,"",9528,"Apollo 6000 XL230a, Xeon E5-2690v3 12C 2.6GHz, Infiniband FDR","CSC (Center for Scientific Computing)","Hewlett-Packard","Finland","Academic",0,396365,0,0,"Cluster","Xeon E5-2690v3 12C 2.6GHz","Intel Haswell",2600,"Linux","Linux","None",12,"Intel Xeon E5 (Haswell)","Apollo 6000 XL230a","HP Apollo","Infiniband","Infiniband FDR","Northern Europe","Europe",109,44,109,"","Apollo 6000 XL230a, Xeon E5-2690v3 12C 2.6GHz, Infiniband FDR","CSC (Center for Scientific Computing)","Hewlett-Packard","Finland",2014,"Academic",9528,0,314397,396365,0,0,NA,NA,"Cluster","Xeon E5-2690v3 12C 2.6GHz","Intel Haswell",2600,"Linux","Linux","None",12,"Intel Xeon E5 (Haswell)","Apollo 6000 XL230a","HP Apollo","Infiniband","Infiniband FDR","Northern Europe","Europe",314397,597.6839504
"377",2015-06-01,246,-3.837,377,158,200423.34,214.17,935.8142597,"Submission",2014,"",11640,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR","Financial Institution","IBM/Lenovo","United States","Industry",0,260736,0,0,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Infiniband","Infiniband FDR","North America","Americas",303,43,329,"","xSeries x3650M4 Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR","Financial Institution","IBM/Lenovo","United States",2014,"Industry",11640,0,200423,260736,0,0,214,936,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Infiniband","Infiniband FDR","North America","Americas",200423,935.8142597
"468",2015-06-01,247,-3.837,468,139,169727,154,1102.123377,"Submission",2015,"ARIS",8520,"IBM NeXtScale nx360M5, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR14","Greek Research and Technology Network","IBM","Greece","Research",0,190848,1721440,0,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","IBM NeXtScale nx360M5","IBM NeXtScale","Infiniband","Infiniband FDR14","Southern Europe","Europe",NA,45,468,"ARIS","IBM NeXtScale nx360M5, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR14","Greek Research and Technology Network","IBM","Greece",2015,"Research",8520,0,169727,190848,1721440,0,154,1102,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","IBM NeXtScale nx360M5","IBM NeXtScale","Infiniband","Infiniband FDR14","Southern Europe","Europe",169727,1102.123377
