"","date","ExaRank","exascalar","top500rank","green500rank.g","rmax.g","power.g","how.g","mflopswatt","totalcores.g","year.g","name.g","manufacturer.g","computer.g","site.g","country.g","segment.g","acceleratorcoprocessorcores.g","rpeak.g","efficiency.g","nmax.g","architecture.g","processor.g","processortechnology.g","processorspeedmhz.g","oatingsystem.g","osfamily.g","acceleratorcoprocessor.g","coressocket.g","processorgeneration.g","systemmodel.g","systemfamily.g","interconnectfamily.g","interconnect.g","region.g","continent.g","previoustop500rank","firstappearance.t","firsttop500rank","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcoprocessorcores.t","rmax","rpeak.t","efficiency.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","acceleratorcoprocessor.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t"
"53",2013-06-01,21,-3.269,53,12,531600,237,"Top500",2243.037975,10920,2013,"HPCC","Hewlett-Packard","Cluster Platform SL250s Gen8, Xeon E5-2665 8C 2.400GHz, Infiniband FDR, Nvidia K20m","University of Southern California","United States","Academic",6760,690352,77,1377280,"Cluster","Xeon E5-2665 8C 2.400GHz","Intel SandyBridge",2400,"Linux","Linux","Nvidia K20m",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL250s Gen8","HP Cluster Platform 3000SL","Infiniband","Infiniband FDR","North America","Americas",NA,41,53,"HPCC","Cluster Platform SL250s Gen8, Xeon E5-2665 8C 2.400GHz, Infiniband FDR, Nvidia K20m","University of Southern California","Hewlett-Packard","United States",2013,"Academic",10920,6760,531600,690352,77,1377280,0,237,2243,"Cluster","Xeon E5-2665 8C 2.400GHz","Intel SandyBridge",2400,"Linux","Linux","Nvidia K20m",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL250s Gen8","HP Cluster Platform 3000SL","Infiniband","Infiniband FDR","North America","Americas"
"50",2013-06-01,22,-3.275,50,17,536663,246.56,"Submission",2176.602044,49152,2012,"SAKURA","IBM","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","High Energy Accelerator Research Organization /KEK","Japan","Research",0,629146,85.3,0,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Eastern Asia","Asia",42,40,42,"HIMAWARI","BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","High Energy Accelerator Research Organization /KEK","IBM","Japan",2012,"Research",49152,0,536663,629146,85,0,0,247,2177,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Eastern Asia","Asia"
"51",2013-06-01,23,-3.275,51,16,536663,246.56,"Submission",2176.602044,49152,2012,"HIMAWARI","IBM","BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","High Energy Accelerator Research Organization /KEK","Japan","Research",0,629146,85.3,0,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Eastern Asia","Asia",41,39,36,"SAKURA","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","High Energy Accelerator Research Organization /KEK","IBM","Japan",2012,"Research",49152,0,536663,629146,85,0,0,247,2177,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Eastern Asia","Asia"
"17",2013-06-01,24,-3.293,17,79,1257615,1436.72,"Submission",875.3375745,72288,2012,"Yellowstone","IBM","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","NCAR (National Center for Atmospheric Research)","United States","Research",0,1503590,83.64,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","North America","Americas",13,40,13,"Yellowstone","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","NCAR (National Center for Atmospheric Research)","IBM","United States",2012,"Research",72288,0,1257615,1503590,84,0,0,1437,875,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","North America","Americas"
"21",2013-06-01,25,-3.318,21,91,1192000,1398.61,"Submission",852.2747585,73278,2010,"TSUBAME 2.0","NEC/HP","HP ProLiant SL390s G7 Xeon 6C X5670, Nvidia GPU, Linux/Windows","GSIC Center, Tokyo Institute of Technology","Japan","Academic",56994,2287630,52.11,2490368,"Cluster","Xeon X5670 6C 2.930GHz","Intel Nehalem",2930,"Linux","Linux","NVIDIA 2050",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform SL390s G7","HP Cluster Platform 3000SL","Infiniband","Infiniband QDR","Eastern Asia","Asia",17,36,4,"TSUBAME 2.0","HP ProLiant SL390s G7 Xeon 6C X5670, Nvidia GPU, Linux/Windows","GSIC Center, Tokyo Institute of Technology","NEC/HP","Japan",2010,"Academic",73278,56994,1192000,2287630,52,2490368,0,1399,852,"Cluster","Xeon X5670 6C 2.930GHz","Intel Nehalem",2930,"Linux","Linux","NVIDIA 2050",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform SL390s G7","HP Cluster Platform 3000SL","Infiniband","Infiniband QDR","Eastern Asia","Asia"
"26",2013-06-01,26,-3.347,26,77,1043000,1176.8,"Top500",886.3018355,76800,2012,"Oakleaf-FX","Fujitsu","PRIMEHPC FX10, SPARC64 IXfx 16C 1.848GHz, Tofu interconnect","Information Technology Center, The University of Tokyo","Japan","Academic",0,1135411,91.86,4058880,"Cluster","SPARC64 IXfx 16C 1.848GHz","Sparc",1848,"Linux","Linux","None",16,"SPARC64 IXfx","PRIMEHPC FX10","Fujitsu Cluster","Custom Interconnect","Tofu interconnect","Eastern Asia","Asia",21,39,18,"Oakleaf-FX","PRIMEHPC FX10, SPARC64 IXfx 16C 1.848GHz, Tofu interconnect","Information Technology Center, The University of Tokyo","Fujitsu","Japan",2012,"Academic",76800,0,1043000,1135411,92,4058880,0,1177,886,"Cluster","SPARC64 IXfx 16C 1.848GHz","Sparc",1848,"Linux","Linux","None",16,"SPARC64 IXfx","PRIMEHPC FX10","Fujitsu Cluster","Custom Interconnect","Tofu interconnect","Eastern Asia","Asia"
"15",2013-06-01,27,-3.367,15,133,1359000,2132,"Submission",637.4296435,77184,2012,"Curie thin nodes","Bull SA","Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","CEA/TGCC-GENCI","France","Research",0,1667174,81.52,5757528,"Cluster","Xeon E5-2680 8C 2.700GHz","Intel SandyBridge",2700,"bullx SUperCOmputer Suite A.E.2.1","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Bullx B510","Bull Bullx","Infiniband","Infiniband QDR","Western Europe","Europe",11,39,9,"Curie thin nodes","Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","CEA/TGCC-GENCI","Bull SA","France",2012,"Research",77184,0,1359000,1667174,82,5757528,0,2251,604,"Cluster","Xeon E5-2680 8C 2.700GHz","Intel SandyBridge",2700,"bullx SUperCOmputer Suite A.E.2.1","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Bullx B510","Bull Bullx","Infiniband","Infiniband QDR","Western Europe","Europe"
"29",2013-06-01,28,-3.375,29,61,925058,1015.6,"Submission",910.8487594,48896,2012,"MareNostrum","IBM","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Barcelona Supercomputing Center","Spain","Academic",0,1017036.8,90.96,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","Southern Europe","Europe",36,40,36,"MareNostrum","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Barcelona Supercomputing Center","IBM","Spain",2012,"Academic",48896,0,925058,1017037,91,0,0,1016,911,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","Southern Europe","Europe"
"65",2013-06-01,29,-3.388,65,31,417256,215.6,"Submission",1935.324675,35568,2012,"Discover","IBM","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband QDR, Intel Xeon Phi 5110P","NASA Center for Climate Simulation","United States","Government",28080,628842.24,66.35,960000,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","Intel Xeon Phi 5110P",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband QDR","North America","Americas",53,40,53,"Discover","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband QDR, Intel Xeon Phi 5110P","NASA Center for Climate Simulation","IBM","United States",2012,"Government",35568,28080,417256,628842,66,960000,0,216,1935,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","Intel Xeon Phi 5110P",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband QDR","North America","Americas"
"46",2013-06-01,30,-3.399,46,37,597400,458.1249857,"Derived",1304.010955,31288,2013,"Big Red II","Cray Inc.","Cray XK7 , Opteron 6276 16C 2.300GHz, Cray Gemini interconnect, NVIDIA K20","Indiana University","United States","Academic",8788,1000624,59.7,748800,"MPP","Opteron 6276 16C 2.300GHz","AMD x86_64",2300,"Cray Linux Environment","Linux","NVIDIA K20",16,"Opteron 6200 Series ""Interlagos""","Cray XK7","Cray XK","Cray Interconnect","Cray Gemini interconnect","North America","Americas",NA,41,46,"Big Red II","Cray XK7 , Opteron 6276 16C 2.300GHz, Cray Gemini interconnect, NVIDIA K20","Indiana University","Cray Inc.","United States",2013,"Academic",31288,8788,597400,1000624,60,748800,0,NA,NA,"MPP","Opteron 6276 16C 2.300GHz","AMD x86_64",2300,"Cray Linux Environment ","Linux","NVIDIA K20",16,"Opteron 6200 Series ""Interlagos""","Cray XK7 ","Cray XK","Cray Interconnect","Cray Gemini interconnect","North America","Americas"
"74",2013-06-01,31,-3.399,74,25,357776,164.38,"Submission",2176.517825,32768,2011,"","IBM","BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","IBM - Rochester","United States","Vendor",0,419430.4,85.3,0,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",67,38,64,"","BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","IBM - Rochester","IBM","United States",2011,"Vendor",32768,0,357776,419430,85,0,0,164,2177,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas"
"75",2013-06-01,32,-3.399,75,26,357776,164.38,"Submission",2176.517825,32768,2011,"","IBM","BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","IBM - Rochester","United States","Vendor",0,419430.4,85.3,0,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",66,38,29,"","BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","IBM - Rochester","IBM","United States",2011,"Vendor",32768,0,357776,419430,85,0,0,164,2177,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas"
"76",2013-06-01,33,-3.399,76,28,357776,164.38,"Submission",2176.517825,32768,2012,"","IBM","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","Rensselaer Polytechnic Institute","United States","Academic",0,419430.4,85.3,0,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",144,39,102,"","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","Rensselaer Polytechnic Institute","IBM","United States",2012,"Academic",32768,0,357776,419430,85,0,0,164,2177,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas"
"77",2013-06-01,34,-3.399,77,27,357776,164.38,"Submission",2176.517825,32768,2012,"BGQ","IBM","BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","Southern Ontario Smart Computing Innovation Consortium/University of Toronto","Canada","Academic",0,419430.4,85.3,0,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",68,40,68,"BGQ","BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","Southern Ontario Smart Computing Innovation Consortium/University of Toronto","IBM","Canada",2012,"Academic",32768,0,357776,419430,85,0,0,164,2177,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas"
"72",2013-06-01,35,-3.418,72,30,354200,181.7,"Submission",1949.367089,28704,2012,"MVS-10P","RSC Group","RSC Tornado, Xeon E5-2690 8C 2.900GHz, Infiniband FDR, Intel Xeon Phi SE10X","Joint Supercomputer Center","Russia","Academic",25376,523577.6,71.76,1180160,"Cluster","Xeon E5-2690 8C 2.900GHz","Intel SandyBridge",2900,"Linux","Linux","Intel Xeon Phi SE10X",8,"Intel Xeon E5 (SandyBridge)","RSC Tornado","RSC Cluster","Infiniband","Infiniband FDR","Eastern Europe","Europe",59,40,59,"MVS-10P","RSC Tornado, Xeon E5-2690 8C 2.900GHz, Infiniband FDR, Intel Xeon Phi SE10X","Joint Supercomputer Center","RSC Group","Russia",2012,"Academic",28704,25376,375700,523578,72,1180160,0,223,1687,"Cluster","Xeon E5-2690 8C 2.900GHz","Intel SandyBridge",2900,"Linux","Linux","Intel Xeon Phi SE10X",8,"Intel Xeon E5 (SandyBridge)","RSC Tornado","RSC Cluster","Infiniband","Infiniband FDR","Eastern Europe","Europe"
"20",2013-06-01,36,-3.434,20,145,1237000,2200,"Top500",562.2727273,70560,2011,"Helios","Bull SA","Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","International Fusion Energy Research Centre (IFERC), EU(F4E) - Japan Broader Approach collaboration","Japan","Academic",0,1524096,81.16,4870152,"Cluster","Xeon E5-2680 8C 2.700GHz","Intel SandyBridge",2700,"bullx SUperCOmputer Suite A.E.2.1","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Bullx B510","Bull Bullx","Infiniband","Infiniband QDR","Eastern Asia","Asia",15,38,28,"Helios","Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","International Fusion Energy Research Centre (IFERC), EU(F4E) - Japan Broader Approach collaboration","Bull SA","Japan",2011,"Academic",70560,0,1237000,1524096,81,4870152,0,2200,562,"Cluster","Xeon E5-2680 8C 2.700GHz","Intel SandyBridge",2700,"bullx SUperCOmputer Suite A.E.2.1","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Bullx B510","Bull Bullx","Infiniband","Infiniband QDR","Eastern Asia","Asia"
"36",2013-06-01,37,-3.453,36,63,719220,789.66,"Submission",910.7970519,38016,2013,"","IBM","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Indian Institute of Tropical Meteorology","India","Research",0,790733,90.96,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","South-central Asia","Asia",NA,41,36,"","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Indian Institute of Tropical Meteorology","IBM","India",2013,"Research",38016,0,719220,790733,91,0,0,790,911,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","South-central Asia","Asia"
"34",2013-06-01,38,-3.456,34,96,773700,924.16,"Top500",837.1926939,46208,2011,"Zin","Cray Inc.","Xtreme-X GreenBlade GB512X, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, Infiniband QDR","Lawrence Livermore National Laboratory","United States","Research",0,961126.4,80.5,3260400,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"RHEL 6.2","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Xtreme-X GreenBlade GB512X","Appro Xtreme-X","Infiniband","Infiniband QDR","North America","Americas",29,38,15,"Zin","Xtreme-X GreenBlade GB512X, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, Infiniband QDR","Lawrence Livermore National Laboratory","Cray Inc.","United States",2011,"Research",46208,0,773700,961126,81,3260400,1630200,924,837,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"RHEL 6.2","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Xtreme-X GreenBlade GB512X","Appro Xtreme-X","Infiniband","Infiniband QDR","North America","Americas"
"13",2013-06-01,39,-3.459,13,166,1515000,3575.63,"Submission",423.7015575,63360,2012,"DARPA Trial Subset","IBM","Power 775, POWER7 8C 3.836GHz, Custom Interconnect","IBM Development Engineering","United States","Vendor",0,1944391.68,77.92,0,"MPP","POWER7 8C 3.836GHz","Power",3836,"Linux","Linux","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom Interconnect","North America","Americas",10,39,23,"DARPA Trial Subset","Power 775, POWER7 8C 3.836GHz, Custom Interconnect","IBM Development Engineering","IBM","United States",2012,"Vendor",63360,0,1515000,1944392,78,0,0,3576,424,"MPP","POWER7 8C 3.836GHz","Power",3836,"Linux","Linux","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom Interconnect","North America","Americas"
"16",2013-06-01,40,-3.466,16,150,1271000,2580,"Top500",492.6356589,120640,2010,"Nebulae","Dawning","Dawning TC3600 Blade System, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2050","National Supercomputing Centre in Shenzhen (NSCS)","China","Research",64960,2984300,42.59,2359296,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","NVIDIA 2050",6,"Xeon 5600-series (Westmere-EP)","Dawning TC3600 Blade System","Dawning Cluster","Infiniband","Infiniband QDR","Eastern Asia","Asia",12,35,2,"Nebulae","Dawning TC3600 Blade System, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2050","National Supercomputing Centre in Shenzhen (NSCS)","Dawning","China",2010,"Research",120640,64960,1271000,2984300,43,2359296,0,2580,493,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","NVIDIA 2050",6,"Xeon 5600-series (Westmere-EP)","Dawning TC3600 Blade System","Dawning Cluster","Infiniband","Infiniband QDR","Eastern Asia","Asia"
"54",2013-06-01,41,-3.467,54,40,500277,401,"Submission",1247.573566,25800,2013,"","Bull SA","Bullx DLC B710 Blades, Intel Xeon E5 v2 12C 2.700GHz, Infiniband FDR","Météo France","France","Research",0,557280,89.77,1969296,"Cluster","Intel Xeon E5 v2 12C 2.700GHz","Intel IvyBridge",2700,"Bullx Linux","Linux","None",12,"Intel Xeon E5 (IvyBridge)","Bullx DLC B710 Blades","Bull Bullx","Infiniband","Infiniband FDR","Western Europe","Europe",NA,41,54,"","Bullx DLC B710 Blades, Intel Xeon E5 v2 12C 2.700GHz, Infiniband FDR","M√©t√©o France","Bull SA","France",2013,"Research",25800,0,500277,557280,90,1969296,0,401,1248,"Cluster","Intel Xeon E5 v2 12C 2.700GHz","Intel IvyBridge",2700,"Bullx Linux","Linux","None",12,"Intel Xeon E5 (IvyBridge)","Bullx DLC B710 Blades","Bull Bullx","Infiniband","Infiniband FDR","Western Europe","Europe"
"108",2013-06-01,42,-3.472,108,11,273700,122,"Top500",2243.442623,8160,2011,"Todi","Cray Inc.","Cray XK7 , Opteron 6272 16C 2.100GHz, Cray Gemini interconnect, NVIDIA Tesla K20 Kepler","Swiss Scientific Computing Center (CSCS)","Switzerland","Research",3808,392876.8,69.67,756480,"MPP","Opteron 6272 16C 2.100GHz","AMD x86_64",2100,"Cray Linux Environment","Linux","NVIDIA K20x",16,"Opteron 6200 Series ""Interlagos""","Cray XK7","Cray XK","Cray Interconnect","Cray Gemini interconnect","Western Europe","Europe",91,38,330,"Todi","Cray XK7 , Opteron 6272 16C 2.100GHz, Cray Gemini interconnect, NVIDIA Tesla K20 Kepler","Swiss Scientific Computing Center (CSCS)","Cray Inc.","Switzerland",2011,"Research",8160,3808,273700,392877,70,756480,0,122,2243,"MPP","Opteron 6272 16C 2.100GHz","AMD x86_64",2100,"Cray Linux Environment ","Linux","NVIDIA K20x",16,"Opteron 6200 Series ""Interlagos""","Cray XK7 ","Cray XK","Cray Interconnect","Cray Gemini interconnect","Western Europe","Europe"
"27",2013-06-01,43,-3.481,27,141,978600,1605.12,"Derived",609.6740431,53504,2012,"","Fujitsu","Fujitsu PRIMERGY CX250 S1, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","National Computational Infrastructure, Australian National University","Australia","Research",0,1112883,87.93,3290496,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Fujitsu PRIMERGY CX250 S1","Fujitsu Cluster","Infiniband","Infiniband FDR","Australia and New Zealand","Oceania",24,40,24,"","Fujitsu PRIMERGY CX250 S1, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","National Computational Infrastructure, Australian National University","Fujitsu","Australia",2012,"Research",53504,0,978600,1112883,88,3290496,561792,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Fujitsu PRIMERGY CX250 S1","Fujitsu Cluster","Infiniband","Infiniband FDR","Australia and New Zealand","Oceania"
"33",2013-06-01,44,-3.485,33,114,795900,1074,"Top500",741.0614525,137200,2011,"Sunway Blue Light","National Research Center of Parallel Computer Engineering & Technology","Sunway BlueLight MPP, ShenWei processor SW1600 975.00 MHz, Infiniband QDR","National Supercomputing Center in Jinan","China","Research",0,1070160,74.37,3375120,"Cluster","ShenWei processor SW1600 16C 975MHz","Others",975,"Linux","Linux","None",16,"ShenWei","Sunway BlueLight MPP","Sunway BlueLight MPP","Infiniband","Infiniband QDR","Eastern Asia","Asia",28,38,14,"Sunway Blue Light","Sunway BlueLight MPP, ShenWei processor SW1600 975.00 MHz, Infiniband QDR","National Supercomputing Center in Jinan","National Research Center of Parallel Computer Engineering & Technology","China",2011,"Research",137200,0,795900,1070160,74,3375120,0,1074,741,"Cluster","ShenWei processor SW1600 16C 975MHz","Others",975,"Linux","Linux","None",16,"ShenWei","Sunway BlueLight MPP","Sunway BlueLight MPP","Infiniband","Infiniband QDR","Eastern Asia","Asia"
"35",2013-06-01,45,-3.526,35,129,771700,1155.07,"Top500",668.0980373,53248,2011,"Tianhe-1A Hunan Solution","NUDT","NUDT YH MPP, Xeon X5670 6C 2.93 GHz, Proprietary, NVIDIA 2050","National Super Computer Center in Hunan","China","Research",28672,1342750.72,57.47,2200000,"MPP","Xeon X5670 6C 2.930GHz","Intel Nehalem",2930,"Linux","Linux","NVIDIA 2050",6,"Xeon 5600-series (Westmere-EP)","NUDT YH MPP","NUDT MPP","Proprietary Network","Proprietary","Eastern Asia","Asia",30,38,16,"Tianhe-1A Hunan Solution","NUDT YH MPP, Xeon X5670 6C 2.93 GHz, Proprietary, NVIDIA 2050","National Super Computer Center in Hunan","NUDT","China",2011,"Research",53248,28672,771700,1342751,57,2200000,0,1155,668,"MPP","Xeon X5670 6C 2.930GHz","Intel Nehalem",2930,"Linux","Linux","NVIDIA 2050",6,"Xeon 5600-series (Westmere-EP)","NUDT YH MPP","NUDT MPP","Proprietary Network","Proprietary","Eastern Asia","Asia"
"71",2013-06-01,46,-3.548,71,39,379306,299.88,"Top500",1264.859277,27489,2011,"Endeavor","Intel","Intel Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi","Intel","United States","Industry",21777,502084.8,75.55,1566720,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","Intel Xeon Phi",8,"Intel Xeon E5 (SandyBridge)","Intel Cluster","Intel Cluster","Infiniband","Infiniband FDR","North America","Americas",58,35,112,"Endeavor","Intel Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi","Intel","Intel","United States",2011,"Industry",27489,21777,379306,502085,76,1566720,0,300,1265,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","Intel Xeon Phi",8,"Intel Xeon E5 (SandyBridge)","Intel Cluster","Intel Cluster","Infiniband","Infiniband FDR","North America","Americas"
"47",2013-06-01,47,-3.554,47,101,582100,720,"Top500",808.4722222,32256,2012,"","SGI","SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Central Research Institute of Electric Power Industry/CRIEPI","Japan","Research",0,670925,86.76,2648520,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"SUSE Linux Enterprise Server 11","Linux","None",8,"Intel Xeon E5 (SandyBridge)","SGI ICE X","SGI ICE X","Infiniband","Infiniband FDR","Eastern Asia","Asia",39,40,39,"","SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Central Research Institute of Electric Power Industry/CRIEPI","SGI","Japan",2012,"Research",32256,0,582100,670925,87,2648520,0,720,808,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"SUSE Linux Enterprise Server 11","Linux","None",8,"Intel Xeon E5 (SandyBridge)","SGI ICE X","SGI ICE X","Infiniband","Infiniband FDR","Eastern Asia","Asia"
