"","top500rank","green500rank.g","site.g","manufacturer.g","computer.g","country.g","mflopswatt.g","power.g","how.g","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcores.t","rmax.t","rpeak.t","effeciency.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","accelerator.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t"
"46",46,99,"Los Alamos National Laboratory","Appro International","Xtreme-X 1320H-LANL, Opteron 12 Core 2.30 GHz, Infiniband QDR","United States",355.6,648.48,"derived","Mustang","Xtreme-X 1320H-LANL, Opteron 12 Core 2.30 GHz, Infiniband QDR","Los Alamos National Laboratory","Appro International","United States",2011,"Research",37056,0,230600,340915,67.64,2240000,1120000,540.4,426.72,"Cluster","Opteron 6176 12C 2.30GHz","AMD x86_64",2300,"RHEL 6.1","Linux","None",12,"Opteron 12 Core","Xtreme-X 1320H-LANL","Appro Xtreme-X","Infiniband","Infiniband QDR","North America","Americas"
"47",47,325,"Universitaet Aachen/RWTH","Bull SA","Bullx B500 Cluster, Xeon X56xx 3.06Ghz, QDR Infiniband","Germany",151.7,1449.12,"derived","RWTH Compute Cluster (RCC)","Bullx B500 Cluster, Xeon X56xx 3.06Ghz, QDR Infiniband","Universitaet Aachen/RWTH","Bull SA","Germany",2011,"Academic",25448,0,219838,270538,81.26,2145920,0,NA,NA,"Cluster","Xeon X5675 6C 3.06GHz","Intel Nehalem",3060,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","Bullx B500 Cluster","Bull Bullx","Infiniband","Infiniband QDR","Western Europe","Europe"
"48",48,30,"UCSD/San Diego Supercomputer Center","Appro International","Xtreme-X GreenBlade GB512X, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, Infiniband QDR","United States",864.93,252.16,"Top500","Gordon","Xtreme-X GreenBlade GB512X, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, Infiniband QDR","UCSD/San Diego Supercomputer Center","Appro International","United States",2011,"Academic",12608,0,218100,262246,83.17,1941632,970816,252.16,864.93,"Cluster","Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz","Intel SandyBridge",2600,"RHEL 6.2","Linux","None",8,"Intel Xeon E5","Xtreme-X GreenBlade GB512X","Appro Xtreme-X","Infiniband","Infiniband QDR","North America","Americas"
"49",49,334,"INPE (National Institute for Space Research)","Cray Inc.","Cray XT6 12-core 2.1 GHz","Brazil",142.17,1442.64,"Derived","Tup","Cray XT6 12-core 2.1 GHz","INPE (National Institute for Space Research)","Cray Inc.","Brazil",2010,"Research",30720,0,205100,258048,79.48,0,0,NA,NA,"MPP","Opteron 6172 12C 2.10GHz","AMD x86_64",2100,"Linux","Linux","None",12,"Opteron 12 Core","Cray XT6","Cray XT","Custom Interconnect","Custom","South America","Americas"
"50",50,413,"Sandia National Laboratories","Cray Inc.","Cray XT3/XT4","United States",81.48,2506,"Top500","Sandia/Cray Red Storm","Cray XT3/XT4","Sandia National Laboratories","Cray Inc.","United States",2009,"Research",38208,0,204200,284000,71.9,0,0,2506,81.48,"MPP","Opteron Dual Core 2C 2.40GHz","AMD x86_64",2400,"Linux","Linux","None",2,"Opteron Dual Core","Cray XT3/XT4","Cray XT","Proprietary Network","Proprietary","North America","Americas"
"51",51,123,"NOAA/Oak Ridge National Laboratory","Cray Inc.","Cray XT6-HE, Opteron 6100 12C 2.1GHz","United States",318.69,610,"Top500","Gaea","Cray XT6-HE, Opteron 6100 12C 2.1GHz","NOAA/Oak Ridge National Laboratory","Cray Inc.","United States",2010,"Research",30912,0,194400,259660.8,74.87,2624384,0,610,318.69,"MPP","Opteron 6172 12C 2.10GHz","AMD x86_64",2100,"Linux","Linux","None",12,"Opteron 12 Core","Cray XT6-HE","Cray XT","Custom Interconnect","Custom","North America","Americas"
"52",52,163,"Japan Atomic Energy Agency (JAEA)","Fujitsu","BX900 Xeon X5570 2.93GHz , Infiniband QDR","Japan",230.32,831,"Top500","","BX900 Xeon X5570 2.93GHz , Infiniband QDR","Japan Atomic Energy Agency (JAEA)","Fujitsu","Japan",2009,"Research",17072,0,191400,200080,95.66,2401344,0,831,230.32,"Cluster","Xeon X5570 4C 2.93GHz","Intel EM64T",2930,"Linux","Linux","None",4,"Xeon X55xx (Nehalem-EP)","Fujitsu Cluster","Fujitsu Cluster","Infiniband","Infiniband QDR","Eastern Asia","Asia"
"53",53,77,"King Abdullah University of Science and Technology","IBM","Blue Gene/P Solution","Saudi Arabia",378.77,504,"Submission","Shaheen","Blue Gene/P Solution","King Abdullah University of Science and Technology","IBM","Saudi Arabia",2009,"Academic",65536,0,190900,222822.4,85.67,0,0,504,378.77,"MPP","PowerPC 450 4C 850MHz","Power",850,"CNK/SLES 9","Mixed","None",4,"PowerPC 450","BlueGene/P","IBM BlueGene","Proprietary Network","Proprietary","Western Asia","Asia"
"54",54,38,"Purdue University","Hewlett-Packard","Cluster Platform 3000 SL6500, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, FDR Infiniband","United States",741.67,252,"Submission","Carter","Cluster Platform 3000 SL6500, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, FDR Infiniband","Purdue University","Hewlett-Packard","United States",2011,"Academic",10368,0,186900,215654.4,86.67,1471712,0,NA,NA,"Cluster","Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5","Cluster Platform 3000 SL6500","HP Cluster Platform 3000SL","Infiniband","FDR Infiniband","North America","Americas"
"55",55,84,"ECMWF","IBM","Power 775, POWER7 8C 3.83GHz, Custom","United Kingdom",369.11,501.47,"Submission","","Power 775, POWER7 8C 3.83GHz, Custom","ECMWF","IBM","United Kingdom",2011,"Research",8192,0,185100,251396.1,73.63,1433088,0,501.47,369.11,"MPP","POWER7 8C 3.83GHz","Power",3830,"AIX","Unix","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom","Northern Europe","Europe"
"56",56,85,"Environment Canada","IBM","Power 775, POWER7 8C 3.84 GHz, Custom","Canada",369.11,501.47,"Submission","","Power 775, POWER7 8C 3.84 GHz, Custom","Environment Canada","IBM","Canada",2011,"Research",8192,0,185100,251396.1,73.63,1433088,0,501.47,369.11,"MPP","POWER7 8C 3.83GHz","Power",3830,"AIX","Unix","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom","North America","Americas"
"57",57,86,"Environment Canada","IBM","Power 775, POWER7 8C 3.84 GHz, Custom","Canada",369.11,501.47,"Submission","","Power 775, POWER7 8C 3.84 GHz, Custom","Environment Canada","IBM","Canada",2011,"Research",8192,0,185100,251396.1,73.63,1433088,0,501.47,369.11,"MPP","POWER7 8C 3.83GHz","Power",3830,"AIX","Unix","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom","North America","Americas"
"58",58,261,"Shanghai Supercomputer Center","Dawning","Dawning 5000A, QC Opteron 1.9 Ghz, Infiniband, Windows HPC 2008","China",180.6,1000,"Submission","Magic Cube","Dawning 5000A, QC Opteron 1.9 Ghz, Infiniband, Windows HPC 2008","Shanghai Supercomputer Center","Dawning","China",2008,"Research",30720,0,180600,233472,77.35,0,0,NA,NA,"Cluster","Opteron Quad Core 4C 1.90GHz","AMD x86_64",1900,"Windows HPC 2008","Windows","None",4,"Opteron Quad Core","Dawning 5000A","Dawning Cluster","Infiniband","Infiniband DDR","Eastern Asia","Asia"
"59",59,410,"Government","Hewlett-Packard","Cluster Platform 3000 BL2x220, L54xx 2.5 Ghz, Infiniband","France",82.32,2182.18,"Derived","","Cluster Platform 3000 BL2x220, L54xx 2.5 Ghz, Infiniband","Government","Hewlett-Packard","France",2009,"Government",24704,0,179634.4,247040,72.71,0,0,NA,NA,"Cluster","Xeon L5420 4C 2.50GHz","Intel Core",2500,"Linux","Linux","None",4,"Xeon 5400-series ""Harpertown""","Cluster Platform 3000 BL 2x220","HP Cluster Platform 3000BL","Infiniband","Infinband DDR 4x","Western Europe","Europe"
"60",60,64,"Taiwan National Center for High-performance Computing","Acer Group","Acer AR585 F1 Cluster, Opteron 12C 2.2GHz, QDR infiniband","Taiwan",442,400.68,"Submission","ALPS","Acer AR585 F1 Cluster, Opteron 12C 2.2GHz, QDR infiniband","Taiwan National Center for High-performance Computing","Acer Group","Taiwan",2011,"Research",26244,0,177100,231859,76.38,2301696,0,NA,NA,"Cluster","Opteron 6174 12C 2.20GHz","AMD x86_64",2200,"Linux","Linux","None",12,"Opteron 12 Core","Acer AR585 F1 Cluster","Acer Group Cluster","Infiniband","Infiniband QDR","Eastern Asia","Asia"
"61",61,15,"Sandia National Laboratories","Appro International","Xtreme-X GreenBlade GB512X, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, Infiniband QDR","United States",889.19,198.72,"Top500","Chama","Xtreme-X GreenBlade GB512X, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, Infiniband QDR","Sandia National Laboratories","Appro International","United States",2011,"Research",9936,0,176700,206668.8,85.5,1483440,741720,198.72,889.19,"Cluster","Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz","Intel SandyBridge",2600,"RHEL 6.2","Linux","None",8,"Intel Xeon E5","Xtreme-X GreenBlade GB512X","Appro Xtreme-X","Infiniband","Infiniband QDR","North America","Americas"
"62",62,82,"United Kingdom Meteorological Office","IBM","Power 775, POWER7 8C 3.84 GHz, Custom","United Kingdom",372.02,470.13,"Submission","","Power 775, POWER7 8C 3.84 GHz, Custom","United Kingdom Meteorological Office","IBM","United Kingdom",2011,"Research",7680,0,174900,235683.84,74.21,0,0,470.13,372.02,"MPP","POWER7 8C 3.83GHz","Power",3830,"AIX","Unix","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom","Northern Europe","Europe"
"63",63,83,"United Kingdom Meteorological Office","IBM","Power 775, POWER7 8C 3.84 GHz, Custom","United Kingdom",372.02,470.13,"Submission","","Power 775, POWER7 8C 3.84 GHz, Custom","United Kingdom Meteorological Office","IBM","United Kingdom",2011,"Research",7680,0,174900,235683.84,74.21,0,0,470.13,372.02,"MPP","POWER7 8C 3.83GHz","Power",3830,"AIX","Unix","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom","Northern Europe","Europe"
"64",64,1,"IBM - Rochester","IBM","BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","United States",2026.48,85.12,"Submission","","BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","IBM - Rochester","IBM","United States",2011,"Vendor",16384,0,172494,209715.2,82.25,1376255,0,85.12,2026.48,"MPP","Power BQC 16C 1.60GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom","North America","Americas"
"65",65,2,"IBM Thomas J. Watson Research Center","IBM","BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","United States",2026.48,85.12,"Submission","","BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","IBM Thomas J. Watson Research Center","IBM","United States",2011,"Research",16384,0,172494,209715.2,82.25,1376255,0,85.12,2026.48,"MPP","Power BQC 16C 1.60GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom","North America","Americas"
"66",66,120,"EDF R&D","IBM","iDataPlex, Xeon X56xx 6C 2.93 GHz, Infiniband","France",330.98,510,"Submission","Ivanhoe","iDataPlex, Xeon X56xx 6C 2.93 GHz, Infiniband","EDF R&D","IBM","France",2010,"Industry",16320,0,168800,191270.4,88.25,1958400,0,510,330.98,"Cluster","Xeon X5670 6C 2.93GHz","Intel Nehalem",2930,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","xSeries iDataPlex","IBM iDataPlex","Infiniband","Infiniband","Western Europe","Europe"
"67",67,208,"SciNet/University of Toronto","IBM","iDataPlex, Xeon E55xx QC 2.53 GHz, GigE","Canada",194.02,869,"Submission","GPC","iDataPlex, Xeon E55xx QC 2.53 GHz, GigE","SciNet/University of Toronto","IBM","Canada",2009,"Research",30240,0,168600,306028.8,55.09,0,0,869,194.02,"Cluster","Xeon E5540 4C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",4,"Xeon E55xx (Nehalem-EP)","xSeries iDataPlex","IBM iDataPlex","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"68",68,152,"Lawrence Livermore National Laboratory","Dell","Dell Xanadu 3 Cluster, Xeon X5660 2.8 Ghz, QLogic InfiniBand QDR","United States",241.97,688.94,"derived","Sierra","Dell Xanadu 3 Cluster, Xeon X5660 2.8 Ghz, QLogic InfiniBand QDR","Lawrence Livermore National Laboratory","Dell","United States",2010,"Research",21756,0,166700,243667,68.41,1973166,0,NA,NA,"Cluster","Xeon X5660 6C 2.80GHz","Intel Nehalem",2800,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","Dell Xanadu 3 Cluster","Dell Xanadu","Infiniband","Infiniband QDR","North America","Americas"
"69",69,496,"Government","Cray Inc.","Cray XT5 QC 2.4 GHz","United States",34.41,4812.42,"Derived","","Cray XT5 QC 2.4 GHz","Government","Cray Inc.","United States",2009,"Government",20960,0,165600,201216,82.3,0,0,NA,NA,"MPP","Opteron Quad Core 4C 2.40GHz","AMD x86_64",2400,"CNL","Linux","None",4,"Opteron Quad Core","Cray XT5 QuadCore","Cray XT","Proprietary Network","XT4 Internal Interconnect","North America","Americas"
"70",70,112,"Vestas Wind Systems A/S","IBM","iDataPlex DX360M3, Xeon X5670 6C 2.93 GHz, Infiniband QDR","Denmark",330.98,489.75,"Submission","","iDataPlex DX360M3, Xeon X5670 6C 2.93 GHz, Infiniband QDR","Vestas Wind Systems A/S","IBM","Denmark",2011,"Industry",15672,0,162098,183675.84,88.25,0,0,489.75,330.98,"Cluster","Xeon X5670 6C 2.93GHz","Intel Nehalem",2930,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Infiniband","Infiniband QDR","Northern Europe","Europe"
"71",71,262,"NOAA Environmental Security Computer Center","SGI","SGI Altix ICE 8400EX, Xeon X56xx (Westmere-EP) 3.47 GHz, Infiniband QDR","United States",180.07,898.56,"derived","","SGI Altix ICE 8400EX, Xeon X56xx (Westmere-EP) 3.47 GHz, Infiniband QDR","NOAA Environmental Security Computer Center","SGI","United States",2011,"Research",27648,0,161800,382648.32,42.28,0,0,NA,NA,"MPP","Xeon X5690 6C 3.47GHz","Intel Nehalem",3470,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","SGI Altix ICE 8400EX","SGI Altix","Infiniband","Infiniband QDR","North America","Americas"
"72",72,168,"University of Tokyo/Institute for Solid State Physics","SGI","SGI Altix ICE 8400EX Xeon X5570 4-core 2.93 GHz, Infiniband","Japan",225.03,719,"Top500","","SGI Altix ICE 8400EX Xeon X5570 4-core 2.93 GHz, Infiniband","University of Tokyo/Institute for Solid State Physics","SGI","Japan",2010,"Academic",15360,0,161800,180019.2,89.88,2351496,0,719,225.03,"MPP","Xeon X5570 4C 2.93GHz","Intel EM64T",2930,"Linux","Linux","None",4,"Xeon X55xx (Nehalem-EP)","SGI Altix ICE 8400EX","SGI Altix","Infiniband","Infiniband QDR","Eastern Asia","Asia"
"73",73,191,"ERDC DSRC","SGI","SGI Altix ICR 8200 Enh. LX, Xeon X5560 2.8Ghz","United States",206.98,774,"Top500","Diamond","SGI Altix ICR 8200 Enh. LX, Xeon X5560 2.8Ghz","ERDC DSRC","SGI","United States",2009,"Research",15360,0,160200,172032,93.12,2280600,0,774,206.98,"MPP","Xeon X5560 4C 2.80GHz","Intel EM64T",2800,"SLES10 + SGI ProPack 5","Linux","None",4,"Xeon X55xx (Nehalem-EP)","SGI Altix ICE 8200 Enhanced LX","SGI Altix","Infiniband","Infiniband DDR","North America","Americas"
"74",74,81,"IBM Poughkeepsie Benchmarking Center","IBM","Power 775, Power7 3.836 GHz","United States",377.2,423.12,"Submission","","Power 775, Power7 3.836 GHz","IBM Poughkeepsie Benchmarking Center","IBM","United States",2011,"Vendor",6912,0,159600,212115,75.24,0,0,423.12,377.2,"MPP","POWER7 8C 3.83GHz","Power",3830,"AIX","Unix","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom","North America","Americas"
"75",75,51,"Commissariat a l'Energie Atomique (CEA)","Bull SA","Bullx B505, Xeon E56xx (Westmere-EP) 2.40 GHz, Infiniband QDR","France",615.78,250.09,"derived","Tera-100 Hybrid","Bullx B505, Xeon E56xx (Westmere-EP) 2.40 GHz, Infiniband QDR","Commissariat a l'Energie Atomique (CEA)","Bull SA","France",2011,"Research",7020,5460,154000,274560,56.09,536576,0,NA,NA,"Cluster","Xeon E5620 4C 2.40GHz","Intel EM64T",2400,"Linux","Linux","NVIDIA 2090",4,"Xeon E56xx (Westmere-EP)","Bullx B505","Bull Bullx","Infiniband","Infiniband QDR","Western Europe","Europe"
"76",76,55,"ERDC DSRC","Cray Inc.","Cray XE6 8-core 2.4 GHz","United States",555.47,275.44,"Derived","Garnet","Cray XE6 8-core 2.4 GHz","ERDC DSRC","Cray Inc.","United States",2010,"Research",20176,0,153000,193689.6,78.99,0,0,NA,NA,"MPP","Opteron 6136 8C 2.40GHz","AMD x86_64",2400,"Linux","Linux","None",8,"Opteron 8 Core","Cray XE6","Cray XE","Custom Interconnect","Custom","North America","Americas"
"77",77,122,"Vienna Scientific Cluster","Megware","Megware Saxonid 6100, Opteron 8C 2.2 GHz, Infiniband QDR","Austria",323.06,473.28,"derived","VSC-2","Megware Saxonid 6100, Opteron 8C 2.2 GHz, Infiniband QDR","Vienna Scientific Cluster","Megware","Austria",2011,"Academic",20776,0,152900,182829,83.63,1994496,0,NA,NA,"Cluster","Opteron 6132HE 8C 2.20GHz","AMD x86_64",2200,"Linux","Linux","None",8,"Opteron 8 Core","Saxonid 6100","Megware Cluster","Infiniband","Infiniband QDR","Western Europe","Europe"
"78",78,312,"University of Colorado","Dell","PowerEdge C6100 Cluster, Xeon X5660 2.8 Ghz, Infiniband","United States",166.74,912.8,"derived","MRI","PowerEdge C6100 Cluster, Xeon X5660 2.8 Ghz, Infiniband","University of Colorado","Dell","United States",2010,"Academic",15648,0,152200,175257.6,86.84,1757600,0,NA,NA,"Cluster","Xeon X5660 6C 2.80GHz","Intel Nehalem",2800,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","PowerEdge C6100 Cluster","Dell PowerEdge Cluster","Infiniband","Infiniband QDR","North America","Americas"
"79",79,173,"University of Southern California","Dell/Sun/IBM","PowerEdge 1950/SunFire X2200/IBM dx340/dx360/HP SL160/DL165, Xeon/Opteron 2.3-2.67GHz, Myrinet 10G","United States",220.42,680.06,"derived","HPC","PowerEdge 1950/SunFire X2200/IBM dx340/dx360/HP SL160/DL165, Xeon/Opteron 2.3-2.67GHz, Myrinet 10G","University of Southern California","Dell/Sun/IBM","United States",2011,"Academic",20925,0,149900,196465,76.3,0,0,NA,NA,"Cluster","Xeon E5410 4C 2.33GHz","Intel Core",2333,"Linux","Linux","None",4,"Xeon 5400-series ""Harpertown""","PowerEdge 1950/SunFire X2200/iDataPlex Cluster","Dell/Sun/IBM Cluster","Myrinet","Myrinet 10G","North America","Americas"
"80",80,125,"Cray Inc.","Cray Inc.","Cray XE6, Opteron 6272 16C 2.10 GHz, Cray Gemini interconnect","United States",312.03,467.9,"derived","Zeus","Cray XE6, Opteron 6272 16C 2.10 GHz, Cray Gemini interconnect","Cray Inc.","Cray Inc.","United States",2011,"Vendor",23104,0,146000,194073.6,75.23,0,0,NA,NA,"MPP","Opteron 6272 16C 2.10GHz","AMD x86_64",2100,"Linux","Linux","None",16,"Opteron 6200 Series","Cray XE6","Cray XE","Cray Interconnect","Cray Gemini interconnect","North America","Americas"
"81",81,65,"Government","National Research Center of Parallel Computer Engineering & Technology","Sunway 4000H Cluster, Xeon X56xx (Westmere-EP) 2.93 GHz, Infiniband QDR","China",429.31,339.15,"derived","","Sunway 4000H Cluster, Xeon X56xx (Westmere-EP) 2.93 GHz, Infiniband QDR","Government","National Research Center of Parallel Computer Engineering & Technology","China",2011,"Research",14280,0,145600,167362,87,1720320,0,NA,NA,"Cluster","Xeon X5670 6C 2.93GHz","Intel Nehalem",2930,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","Sunway 4000H Cluster","Sunway Cluster","Infiniband","Infiniband QDR","Eastern Asia","Asia"
"82",82,13,"CINECA / SCS - SuperComputing Solution","IBM","iDataPlex DX360M3, Xeon E5645 6C 2.40 GHz, Infiniband QDR, NVIDIA 2070","Italy",891.88,160,"Submission","","iDataPlex DX360M3, Xeon E5645 6C 2.40 GHz, Infiniband QDR, NVIDIA 2070","CINECA / SCS - SuperComputing Solution","IBM","Italy",2011,"Research",10240,7168,142700,293171,48.67,0,0,160,891.88,"Cluster","Xeon E5645 6C 2.40GHz","Intel EM64T",2400,"Linux","Linux","NVIDIA 2070",6,"Xeon E56xx (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Infiniband","Infiniband QDR","Southern Europe","Europe"
"83",83,75,"CLUMEQ - McGill University","IBM","iDataPlex DX360M3, Xeon 2.66, Infiniband","Canada",404.45,337,"Submission","Guillimin","iDataPlex DX360M3, Xeon 2.66, Infiniband","CLUMEQ - McGill University","IBM","Canada",2010,"Academic",14400,0,136300,153216,88.96,1532160,0,337,404.45,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Infiniband","Infiniband QDR","North America","Americas"
"84",84,321,"New Mexico Computing Applications Center (NMCAC)","SGI","SGI Altix ICE 8200, Xeon quad core 3.0 GHz","United States",154.7,861,"Top500","Encanto","SGI Altix ICE 8200, Xeon quad core 3.0 GHz","New Mexico Computing Applications Center (NMCAC)","SGI","United States",2007,"Research",14336,0,133200,172032,77.43,1800100,0,861,154.7,"MPP","Xeon 53xx (Clovertown) 4C 3.00GHz","Intel Core",3000,"SLES10 + SGI ProPack 5","Linux","None",4,"Xeon 5300-series ""Clovertown""","SGI Altix ICE 8200","SGI Altix","Infiniband","Infiniband","North America","Americas"
